109.13333,17.33333
113.75,20.75
176.5,21.5
91,24.5
144.66667,25.33333
72,26.5
108.5,26.33333
124,29
117,33
185,35
51.33333,36.33333
134,43
165,46
213.66667,47.33333
37.4,48.8
82,59
63.5,66
32,71
111.5,71
161.33333,74.66667
206.66667,75.66667
221.5,77.5
124,79.5
64.77778,81.44444
26,84.5
103.33333,87.33333
229.66667,87.66667
174,93.25
83.5,103.66667
115.5,108.2
138.06667,109.6
11.5,111
48.66667,111.5
66.2,110.6
231,111
38,117
165.66667,116.66667
137,118.5
14.42857,122.71429
97.1,124.6
65.33333,126.66667
178.5,127.5
204,127
240.66667,127.66667
29,134
79.4,134.2
128,142.5
54.33333,148.33333
130.75,150.75
159.75,153.25
120.5,154.5
80.1,158.1
13.5,164
57,164
230.2,164.6
149,169.25
16.5,170.25
75.33333,172.33333
25.83333,174.33333
150,174
139.8,183.6
180,182
71.33333,184.66667
133,188
173.5,188.5
91,190
89,192
213,195.5
89,197
127.2,201.4
165,200.25
63.4,206.2
107,219
137,220
160,220
87,230
121,233
147.28571,233.57143
113.66667,241.33333
